,simbolo,desc,limite_inferior,ajuste_anterior,limite_superior,preco_abertura,preco_minimo,preco_maximo,preco_medio,ultimo_preco,volume,vencimento,contrato_aberto,numero_negociado,contrato_negociado,codigo,ultima_oferta_compra,mkt.cd,ultima_oferta_venda
20,DI1X23,DI DE 1 DIA,12.296,12.656,13.016,12.658,12.65,12.658,12.6517,12.656,5261913387.67,2023-11-01,778928.0,22.0,53119.0,DI1,12.652,FUT,12.656
26,DI1Z23,DI DE 1 DIA,11.954,12.408,12.874,12.414,12.41,12.414,12.4112,12.41,2009828000.25,2023-12-01,727042.0,17.0,20475.0,DI1,12.41,FUT,12.42
29,DI1F24,DI DE 1 DIA,11.682,12.244,12.82,12.258,12.238,12.268,12.2582,12.262,32843904238.64,2024-01-02,7861458.0,5111.0,342607.0,DI1,12.26,FUT,12.262
23,DI1G24,DI DE 1 DIA,11.485,12.095,12.77,12.12,12.09,12.13,12.117,12.115,369297106.95,2024-02-01,332771.0,26.0,3833.0,DI1,12.11,FUT,12.125
24,DI1H24,DI DE 1 DIA,11.28,11.943,12.72,11.965,11.965,11.98,11.9692,11.965,51225522.34,2024-03-01,319114.0,15.0,536.0,DI1,11.965,FUT,11.98
36,DI1J24,DI DE 1 DIA,11.105,11.827,12.7,11.875,11.82,11.875,11.8494,11.865,14655317062.1,2024-04-01,1383100.0,2043.0,154649.0,DI1,11.86,FUT,11.87
31,DI1K24,DI DE 1 DIA,10.945,11.678,12.595,11.71,11.67,11.74,11.6857,11.74,20756568.92,2024-05-02,76764.0,6.0,221.0,DI1,11.71,FUT,11.755
5,DI1M24,DI DE 1 DIA,10.815,11.565,12.52,11.56,11.54,11.615,11.5746,11.605,37434402.4,2024-06-03,76194.0,9.0,402.0,DI1,11.6,FUT,11.63
25,DI1N24,DI DE 1 DIA,10.675,11.445,12.44,11.48,11.425,11.52,11.4821,11.5,34356248284.9,2024-07-01,1821852.0,10660.0,371951.0,DI1,11.5,FUT,11.505
19,DI1U24,DI DE 1 DIA,10.43,11.243,12.325,11.29,11.28,11.31,11.2864,11.31,274396513.4,2024-09-02,39518.0,32.0,3024.0,DI1,11.305,FUT,11.33
0,DI1V24,DI DE 1 DIA,10.32,11.152,12.275,11.215,11.125,11.27,11.2092,11.24,5305397659.13,2024-10-01,562185.0,3089.0,59495.0,DI1,11.235,FUT,11.24
8,DI1F25,DI DE 1 DIA,10.16,11.004,12.155,11.075,10.965,11.15,11.0705,11.115,82684249569.95,2025-01-02,4231561.0,41480.0,942435.0,DI1,11.11,FUT,11.115
15,DI1J25,DI DE 1 DIA,10.065,10.93,12.105,11.035,10.89,11.09,10.9986,11.06,6879464432.39,2025-04-01,1422815.0,4557.0,80355.0,DI1,11.055,FUT,11.06
2,DI1N25,DI DE 1 DIA,9.975,10.859,12.06,10.88,10.815,11.03,10.9336,11.0,12605465545.25,2025-07-01,1601649.0,12224.0,150843.0,DI1,11.0,FUT,11.005
16,DI1V25,DI DE 1 DIA,9.925,10.83,12.06,10.83,10.795,11.01,10.8767,10.975,6274240212.5,2025-10-01,359853.0,3218.0,77070.0,DI1,10.985,FUT,10.99
27,DI1F26,DI DE 1 DIA,9.895,10.811,12.05,10.915,10.775,11.0,10.8983,10.98,56560835936.01,2026-01-02,3720676.0,51543.0,713890.0,DI1,10.975,FUT,10.98
35,DI1J26,DI DE 1 DIA,9.925,10.848,12.1,10.97,10.83,11.04,10.9129,11.01,336272095.79,2026-04-01,79276.0,373.0,4353.0,DI1,11.02,FUT,11.03
18,DI1N26,DI DE 1 DIA,9.975,10.911,12.16,11.015,10.875,11.1,10.9962,11.085,6627271770.85,2026-07-01,1970339.0,9896.0,88148.0,DI1,11.085,FUT,11.09
37,DI1V26,DI DE 1 DIA,10.04,10.988,12.25,11.095,10.99,11.175,11.0736,11.165,50028813.43,2026-10-01,95526.0,89.0,685.0,DI1,11.16,FUT,11.17
6,DI1F27,DI DE 1 DIA,10.08,11.026,12.295,11.1,10.99,11.225,11.121,11.205,20171341651.62,2027-01-04,1531817.0,31788.0,283928.0,DI1,11.205,FUT,11.21
11,DI1J27,DI DE 1 DIA,10.165,11.109,12.38,11.12,11.12,11.15,11.1292,11.15,1662349.56,2027-04-01,45512.0,5.0,24.0,DI1,11.28,FUT,11.295
1,DI1N27,DI DE 1 DIA,10.21,11.165,12.435,11.18,11.13,11.36,11.2569,11.345,4997863797.16,2027-07-01,476958.0,6208.0,74403.0,DI1,11.34,FUT,11.35
12,DI1V27,DI DE 1 DIA,10.28,11.237,12.505,11.315,11.255,11.4,11.3836,11.4,35129055.2,2027-10-01,58130.0,7.0,540.0,DI1,11.405,FUT,11.42
13,DI1F28,DI DE 1 DIA,10.34,11.308,12.585,11.36,11.275,11.495,11.3802,11.48,2635375640.92,2028-01-03,320172.0,6128.0,41612.0,DI1,11.48,FUT,11.485
32,DI1N28,DI DE 1 DIA,10.455,11.424,12.705,11.49,11.49,11.49,11.49,11.49,1793444.1,2028-07-03,28017.0,2.0,30.0,DI1,11.585,FUT,11.61
